grade,hs.college,sex,gpa,exercise,job,rigorous,welcome,school.spirit,different.hs,teachers.accepting,intensity,self.perception,world.perception,recommend,prepared,hum.math,aa,transfer,studying.24,essay.time,hw,start.hw,home.size,household.size,study.home,study.school,hrs.sleep,makeup,outfit,shower,time.morning,commute,first.stress,first.period,hrs.socializing,hrs.social.media,hrs.fb,hrs.instagram,hrs.snapchat,platform,last.fb,last.instagram,last.snapchat,more.followers,hrs.parents,ninth.lunch,tenth.lunch,ninth.responsible,ninth.y2,no.hats,no.hats.feeling,hat.removed,hat.confiscated,target.bullying,friends.bullied,you.bully,teacher.bully,teacher.response,student.response,safety,environmentalist,self.confidence,physical.positive,confidence.interferes,accepted.you,attractive.a,attractive.b,sex.heartbroken,sex.angry,love.heartbroken,love.angry,marijuana,drinking.age.appropriate,ok.underage,random.drug.tests,small.marijuana,glue,drug.use,breakfast.home,breakfast.school,money.food,allowance,hunger,school.lunch,bring.lunch,buy.food,school.lunch.rating,school.lunch.healthy,veg,veg.knowledge,veg.friends,veg.consider
3-Year 1,College,Female,2.78,1,5,Yes,8,Yes,No,Yes,Yes,7,8,10,7,3,Yes,Yes,3,5,300,Before 8:30 pm,4,3,5,1.5,8,Yes,Yes,No,60,30,No,Yes,9,14,6,7,10,Snapchat,More than a month ago / never,Past month,Past 24 hours,Yes,3,No,No,1,Year 2,Yes,1,Yes,No,No,Yes,No,No,Yes,No,5,7,8,7,Yes,Yes,5,6,10,10,10,10,Yes,No,Yes,Yes,No,No,7,Yes,Yes,20,0,7,Yes,Yes,2,5,7,No,7,Yes,6
3-Year 1,College,Female,3.2,1,8,Yes,6,Yes,No,Yes,Yes,8,10,10,7,10,Yes,Yes,2,3,300,Before 8:30 pm,3,4,4,1,6,Yes,Yes,No,60,60,No,Yes,40,35,12,10,10,Facebook,Past 24 hours,Past 24 hours,Past 24 hours,No,5,No,No,3,Year 2,Yes,1,Yes,No,Yes,No,No,No,Yes,No,4,9,3,2,Yes,No,9,8,8,5,9,7,Yes,No,Yes,No,No,Yes,8,Yes,No,0,0,5,No,Yes,0,5,3,Yes,10,Yes,10
3-Year 1,College,Male,3.84,2,0,Yes,10,Yes,No,Yes,Yes,10,10,9,7,10,Yes,Yes,2,7,200,Before 8:30 pm,1,3,4,0.5,7,No,No,No,40,35,No,Yes,25,20,19,0.5,0.1,Facebook,Past week,Past week,More than a month ago / never,No,6,No,No,4,Year 2,Yes,8,Yes,NA,No,No,Yes,No,Yes,Yes,5,6,9,6,No,Yes,7,7,9,7,9,6,Yes,Yes,No,No,No,No,5,Yes,No,3,10,8,Yes,No,2,6,5,No,7,Yes,5
3-Year 1,College,Male,4,0,0,Yes,8,No,No,Yes,Yes,8,8,10,6,3,No,Yes,2,10,180,Before 8:30 pm,2,3,3,1,6,No,No,Yes,30,30,Yes,Yes,10,NA,1,0,0,NA,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,4,No,No,4,Year 2,No,1,No,No,No,Yes,Yes,No,Yes,No,4,8,3,2,Yes,Yes,1,1,NA,NA,10,,Yes,Yes,Yes,No,NA,No,6,No,Yes,20,0,10,Yes,Yes,2,2,1,No,8,Yes,8
4-Year 2,College,Female,3,8,13,Yes,8,Yes,No,Yes,No,8,8,8,5,6,Yes,Yes,7,10,180,After 8:30 pm,1,4,3,3,7,Yes,No,No,50,35,No,Yes,8,20,3,3,1,Instagram,Past month,Past 24 hours,Past 24 hours,Yes,3,No,Yes,5,Year 2,Yes,3,No,No,Yes,Yes,Yes,Yes,Yes,No,5,5,6,7,Yes,Yes,5,7,7,8,8,7,Yes,Yes,Yes,No,No,No,7,No,No,50,70,6,Yes,No,5,5,5,No,5,Yes,5
4-Year 2,College,Female,4,4,2,Yes,9,No,No,Yes,Yes,7,8,10,9,9,Yes,No,3,5,180,Before 8:30 pm,2,3,2,2,7.5,No,No,No,60,40,No,Yes,17,15,7,7,5,Instagram,Past week,Past week,Past 24 hours,Yes,6,No,No,4,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,7,7,6,No,Yes,6,4,9,9,9,8,No,Yes,Yes,No,No,No,4,Yes,No,0,10,6,No,Yes,0,6,6,Yes,9,Yes,10
4-Year 2,College,Female,2.9,3,0,Yes,5,Yes,No,Yes,Yes,7,8,8,5,3,Yes,Yes,2,4,180,After 8:30 pm,3,5,3,1,7,Yes,Yes,No,50,40,Yes,Yes,25,40,3,14,20,Snapchat,More than a month ago / never,Past week,Past 24 hours,Yes,1,No,No,3,Year 2,Yes,5,No,No,No,No,No,No,Yes,No,3,2,2,3,Yes,Yes,4,3,10,10,10,10,Yes,Yes,Yes,No,No,No,6,No,Yes,10,0,6,No,Yes,2,5,5,No,5,No,2
4-Year 2,College,Male,3.6,2,10,Yes,10,Yes,No,Yes,Yes,10,10,10,7,1,Yes,Yes,2,4,300,After 8:30 pm,2,3,3,0.75,6,No,Yes,Yes,30,50,Yes,Yes,2.5,5,0.75,2,0,Instagram,Past month,Past 24 hours,More than a month ago / never,Yes,2,Yes,Yes,1,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,No,5,9,10,10,Yes,Yes,7,10,10,10,10,10,Yes,Yes,Yes,Yes,No,No,3,No,Yes,45,0,5,No,No,4,2,1,Yes,7,Yes,7
4-Year 2,College,Female,3.5,2,26,Yes,10,Yes,No,Yes,Yes,10,10,10,5,8,Yes,Yes,4,NA,120,Before 8:30 pm,2,4,2,3,6,No,Yes,Yes,45,30,No,Yes,12,30,3,5,6,Snapchat,Past 24 hours,Past month,Past 24 hours,No,2,No,No,1,Year 2,Yes,8,No,No,No,No,No,No,No,No,5,6,8,8,No,Yes,4,4,10,10,10,10,No,Yes,No,Yes,No,No,1,No,Yes,20,0,8,No,Yes,2,3,5,No,10,Yes,10
4-Year 2,College,Female,3.1,2,15,No,8,Yes,No,Yes,Yes,9,10,8,7,8,Yes,Yes,4,9,270,Before 8:30 pm,3,4,4.5,0,8,No,Yes,No,60,90,Yes,Yes,15,20,5,5,3,NA,More than a month ago / never,Past 24 hours,Past week,Yes,1,No,No,1,Year 2,Yes,2,Yes,No,No,No,No,No,No,Yes,4,5,7,8,No,Yes,7,7,3,3,10,8,Yes,No,Yes,Yes,No,No,10,Yes,No,30,0,6,No,No,5,1,1,No,7,Yes,1
4-Year 2,College,Female,3,3,0,Yes,9,Yes,No,Yes,Yes,5,5,10,7,5,Yes,Yes,3,3,60,Before 8:30 pm,2,4,2,2,8,Yes,No,No,45,25,Yes,Yes,8,10,4,2,12,Snapchat,Past week,Past week,Past 24 hours,No,3,No,Yes,4,Year 2,Yes,5,No,No,No,Yes,No,No,Yes,Yes,4,5,9,10,Yes,Yes,3,2,5,4,5,3,No,Yes,Yes,No,Yes,No,1,Yes,No,50,75,8,Yes,No,4,5,5,No,5,Yes,6
4-Year 2,College,Female,4,8,8,Yes,10,Yes,No,Yes,Yes,10,10,10,8,3,Yes,Yes,3,5,240,Before 8:30 pm,3,14,4,2,6,No,Yes,Yes,60,30,Yes,Yes,28,14,7,7,14,Snapchat,Past week,Past week,Past 24 hours,Yes,1,No,No,3,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,Yes,5,8,8,8,No,Yes,10,10,10,10,10,10,Yes,Yes,Yes,Yes,No,No,8,No,Yes,50,0,7,No,No,5,7,7,No,7,Yes,3
4-Year 2,College,Female,3.33,0,0,Yes,9,No,No,Yes,Yes,9,7,9,7,4,Yes,Yes,3,2,60,After 8:30 pm,7,8,1,1,6,No,No,Yes,60,70,No,Yes,12,22,0,0,0,NA,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,1.5,Yes,Yes,3,Year 2,Yes,9,No,No,No,No,No,No,Yes,Yes,4,6,7,7,No,Yes,1,1,10,3,10,6,No,No,Yes,Yes,No,No,2,No,No,5,0,7,Yes,No,1,7,4,No,4,Yes,1
4-Year 2,College,Male,2.9,5,1,Yes,7,Yes,No,Yes,No,8,8,7,7,7,Yes,Yes,2,4,180,After 8:30 pm,4,4,3,0.25,6,No,No,No,45,58,No,Yes,3,5,2.5,2,0,NA,Past week,Past week,More than a month ago / never,Yes,4,No,No,3,Year 2,Yes,4,No,No,No,No,No,Yes,No,Yes,4,5,7,8,No,Yes,2,5,7,9,6,8,No,No,Yes,Yes,No,No,6,Yes,No,10,20,7,No,Yes,1,2,3,No,4,No,1
4-Year 2,College,Female,3.1,4,25,Yes,8,Yes,No,Yes,Yes,10,10,5,2,1,Yes,Yes,4,5,240,After 8:30 pm,4,4,4,3,3.5,Yes,No,Yes,50,75,Yes,Yes,10,20,11,15,9,Snapchat,Past 24 hours,Past 24 hours,Past 24 hours,No,1,No,Yes,4,Year 2,Yes,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,5,1,6,7,Yes,Yes,9,10,10,10,10,10,No,No,Yes,Yes,No,No,1,No,Yes,70,20,8,No,Yes,3,1,3,No,5,Yes,10
4-Year 2,College,Female,3.5,3,12,Yes,9,No,No,Yes,Yes,9,10,10,9,10,Yes,Yes,10,8,120,Before 8:30 pm,5,5,2,0,5,Yes,Yes,Yes,60,75,No,Yes,4,8,0,4,4,Snapchat,More than a month ago / never,Past month,Past 24 hours,No,1,No,No,1,Year 2,Yes,5,No,No,Yes,Yes,No,No,Yes,Yes,5,9,8,8,No,Yes,9,4,10,10,10,10,Yes,No,Yes,No,No,No,8,No,Yes,5,20,9,No,Yes,0,4,3,No,3,No,4
4-Year 2,College,Male,3.68,3,0,Yes,9,Yes,No,Yes,Yes,7,8,9,8,6,Yes,Yes,NA,4,120,Before 8:30 pm,3,6,1.5,0.5,7,No,No,No,40,25,Yes,No,8,4,1,3,0,Instagram,Past month,Past week,More than a month ago / never,Yes,2,No,Yes,4,Year 2,Yes,2,No,No,No,No,No,Yes,Yes,No,5,8,8,8,No,Yes,7,9,3,8,5,8,No,No,Yes,Yes,No,No,4,Yes,No,20,20,2,No,No,4,3,4,No,7,Yes,7
4-Year 2,College,Female,2.9,2,0,Yes,7,Yes,No,Yes,Yes,10,10,7,4,6,Yes,Yes,4,2,120,Before 8:30 pm,3,2,2,2,8,Yes,No,Yes,50,50,Yes,Yes,6,20,5,5,10,Snapchat,Past month,Past 24 hours,Past 24 hours,No,6,No,No,4,Year 2,Yes,6,No,No,No,No,No,No,No,No,4,9,7,7,Yes,Yes,1,4,8,10,10,6,Yes,No,Yes,No,No,No,8,No,No,10,30,7,Yes,No,2,8,9,No,8,Yes,7
4-Year 2,College,Female,2,4,0,Yes,10,Yes,No,Yes,No,7,10,8,4,10,Yes,Yes,2,1,150,Before 8:30 pm,2,4,2,1,7,Yes,Yes,No,40,20,Yes,Yes,40,NA,NA,NA,NA,Instagram,More than a month ago / never,Past week,Past week,No,7,No,No,1,Year 2,Yes,1,No,No,No,No,No,No,Yes,Yes,5,2,9,10,No,No,10,9,10,10,10,10,Yes,No,Yes,No,Yes,No,5,Yes,No,50,0,6,No,No,5,1,3,No,1,No,2
4-Year 2,College,Female,3.65,2,0,Yes,8,Yes,No,Yes,Yes,8,7,10,6,1,Yes,Yes,4,8,240,Before 8:30 pm,3,5,5,0,5,No,Yes,No,NA,35,Yes,Yes,7,10,5,5,10,Snapchat,Past week,Past 24 hours,Past 24 hours,No,8,Yes,Yes,7,Year 2,No,1,No,No,No,No,No,Yes,Yes,Yes,4,6,7,6,Yes,Yes,6,5,10,10,6,7,Yes,Yes,No,No,No,No,2,Yes,No,10,10,8,No,No,2,1,6,No,5,No,7
4-Year 2,College,Female,3.5,10,10,Yes,10,No,No,Yes,Yes,10,8,9,6,7,Yes,Yes,3,6,45,After 8:30 pm,2,5,1,0,6,Yes,No,No,70,50,Yes,No,40,15,2,6,6,NA,More than a month ago / never,Past month,Past week,No,1,Yes,Yes,2,Year 2,Yes,1,No,No,Yes,No,No,Yes,No,Yes,5,7,8,8,Yes,Yes,8,8,5,5,10,10,Yes,No,Yes,No,No,Yes,10,No,No,40,0,8,Yes,No,2,6,6,No,9,Yes,2
4-Year 2,College,Male,3.6,14,0,Yes,5,No,Yes,No,Yes,6,6,1,8,1,Yes,No,6,24,360,Before 8:30 pm,4,4,6,6,6,No,No,Yes,60,30,No,Yes,12,6,2,4,6,Snapchat,Past month,Past week,Past 24 hours,No,2,No,Yes,1,Year 2,Yes,1,Yes,No,No,No,No,Yes,No,No,4,5,8,5,Yes,Yes,1,5,5,5,2,2,Yes,No,Yes,No,No,Yes,10,No,No,50,20,10,No,Yes,2,1,2,No,10,No,1
4-Year 2,College,Female,3.6,1,25,Yes,8,Yes,No,Yes,No,10,9,10,6,10,Yes,Yes,1,3,45,After 8:30 pm,3,6,1,0,6,Yes,Yes,No,30,80,Yes,No,6,10,4,8,1,Instagram,More than a month ago / never,Past 24 hours,Past week,Yes,1,No,No,3,Year 2,Yes,1,No,No,No,No,No,No,Yes,Yes,5,5,8,8,No,No,7,5,7,3,10,3,Yes,Yes,Yes,No,No,No,3,No,No,15,0,8,No,No,2,4,5,No,10,Yes,10
4-Year 2,College,Male,3.5,6,6,Yes,10,Yes,No,Yes,No,3,5,8,7,1,Yes,Yes,4,5,240,After 8:30 pm,1,4,4,1,6,No,No,No,40,20,Yes,Yes,10,7,0,5,5,Instagram,More than a month ago / never,Past week,Past 24 hours,Yes,30,No,No,4,Year 2,Yes,3,Yes,Yes,No,No,No,No,Yes,Yes,5,5,6,5,No,Yes,7,7,8,8,9,9,No,No,Yes,No,No,No,6,Yes,No,40,0,8,Yes,No,4,5,6,No,4,No,1
4-Year 2,College,Male,3,6,0,Yes,5,No,No,No,Yes,10,10,8,2,8,Yes,Yes,2,5,60,After 8:30 pm,5,10,2,2,4,No,Yes,No,50,100,No,No,8,19,7,7,0,Facebook,Past 24 hours,Past week,More than a month ago / never,Yes,0,No,No,2,Year 2,Yes,,Yes,No,No,Yes,Yes,Yes,No,No,4,5,10,10,Yes,No,2,4,1,1,1,2,Yes,Yes,Yes,No,No,No,5,Yes,No,10,8,7,Yes,Yes,4,1,8,No,1,No,2
4-Year 2,College,Male,3,2,7,No,8,No,No,Yes,Yes,8,8,7,5,5,Yes,Yes,4,4,30,After 8:30 pm,5,7,0.2,0,7.5,No,Yes,No,80,50,Yes,Yes,12,8,7,1,3,Facebook,More than a month ago / never,More than a month ago / never,Past 24 hours,No,1,No,Yes,3,Year 2,Yes,5,No,No,No,No,Yes,No,Yes,Yes,5,7,7,7,Yes,Yes,5,6,10,9,9,9,Yes,No,Yes,No,No,No,8,Yes,Yes,10,NA,7,Yes,No,4,5,6,No,3,No,1
4-Year 2,College,Female,3.85,3,0,Yes,10,Yes,No,Yes,Yes,10,10,10,10,2,Yes,Yes,2,6,180,Before 8:30 pm,2,3,2,1,8,No,No,No,50,60,No,Yes,14,8,6,0,1,Facebook,Past 24 hours,More than a month ago / never,Past week,No,2,No,No,4,Year 2,Yes,2,No,No,No,No,No,No,Yes,No,5,10,8,8,No,Yes,2,2,10,10,10,10,No,Yes,No,No,No,No,1,Yes,Yes,6,0,1,No,Yes,1,2,2,No,2,Yes,1
4-Year 2,College,Female,3.5,3,4,Yes,7,Yes,No,Yes,Yes,6,7,10,6,3,Yes,Yes,4,8,90,Before 8:30 pm,2,5,1,3,7,No,No,Yes,120,25,No,Yes,6,6,6,0,0.5,NA,Past month,More than a month ago / never,Past week,No,1,No,No,2,Year 2,Yes,4,No,No,No,No,No,Yes,No,No,3,8,3,3,Yes,Yes,9,9,8,8,10,7,No,Yes,Yes,No,No,No,6,No,No,2,0,6,Yes,No,1,7,6,Yes,10,Yes,10
4-Year 2,College,Female,3.7,3,5,Yes,10,Yes,No,Yes,Yes,9,9,10,10,10,Yes,No,3,6,180,Before 8:30 pm,2,3,3,NA,7,Yes,No,Yes,60,50,No,No,10,4,5,5,2,Instagram,More than a month ago / never,Past month,Past 24 hours,No,3,Yes,Yes,4,Year 2,Yes,1,No,No,No,No,No,Yes,Yes,No,5,6,7,7,No,Yes,9,7,9,9,10,10,Yes,No,Yes,No,No,No,8,Yes,No,2,0,8,No,Yes,1,2,4,No,10,Yes,5
4-Year 2,College,Male,3.2,1,8,Yes,10,Yes,No,Yes,No,9,10,7,6,4,Yes,Yes,6,6,60,After 8:30 pm,1,2,1,0,4,No,No,Yes,60,50,Yes,Yes,6,40,15,2,5,Facebook,Past month,Past 24 hours,Past 24 hours,Yes,5,No,No,2,Year 2,Yes,1,Yes,Yes,No,No,No,No,No,No,4,3,7,5,Yes,Yes,5,5,9,6,10,10,No,Yes,Yes,Yes,No,No,5,No,No,30,0,7,No,No,5,3,4,No,4,No,2
4-Year 2,College,Male,3.8,5,0,No,8,Yes,No,Yes,Yes,9,8,7,10,4,Yes,No,2,6,45,After 8:30 pm,3,4,1,0.5,8,No,Yes,No,60,45,Yes,Yes,20,10,2,2,5,Snapchat,Past month,Past month,Past 24 hours,Yes,0.25,No,Yes,2,Year 2,Yes,5,No,No,No,No,Yes,Yes,Yes,No,5,6,7,7,Yes,Yes,6,5,10,8,10,8,No,No,Yes,Yes,No,No,8,No,Yes,40,0,6,No,No,5,3,6,No,8,Yes,3
4-Year 2,College,Female,2.8,1,4,Yes,8,Yes,No,Yes,No,8,9,9,6,8,Yes,Yes,2,6,75,Before 8:30 pm,4,5,0,2,8,Yes,Yes,No,60,45,No,Yes,10,25,15,6,4,Facebook,Past 24 hours,Past 24 hours,Past 24 hours,Yes,1,No,Yes,6,Year 2,Yes,1,Yes,No,No,Yes,No,Yes,No,Yes,5,8,8,8,Yes,Yes,7,6,9,8,7,4,Yes,No,Yes,No,No,No,7,Yes,No,15,25,8,Yes,No,3,6,4,Yes,9,Yes,10
4-Year 2,College,Female,3.1,5,0,Yes,8,Yes,No,Yes,Yes,8,9,7,7,1,Yes,Yes,4,8,120,Before 8:30 pm,3,4,2,0,7,No,Yes,No,60,20,Yes,Yes,20,5,NA,0.5,0.5,Facebook,Past month,Past month,Past week,No,30,No,No,5,Year 2,Yes,5,Yes,No,No,No,No,Yes,Yes,Yes,4,7,7,8,No,Yes,7,7,10,10,10,10,Yes,No,Yes,No,No,No,5,Yes,No,15,20,5,No,No,3,7,5,No,7,Yes,1
4-Year 2,College,Female,3.71,2,2,Yes,6,Yes,No,Yes,Yes,7,9,8,9,1,Yes,Yes,3,6,300,Before 8:30 pm,2,4,5,8,5,Yes,Yes,Yes,60,45,Yes,Yes,12,6,3,1,3,Snapchat,More than a month ago / never,More than a month ago / never,Past week,No,2,No,No,3,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,No,4,6,7,6,No,Yes,7,7,6,4,8,4,No,No,Yes,Yes,No,No,5,Yes,Yes,20,25,6,No,No,5,1,4,No,1,Yes,5
4-Year 2,College,Female,2.56,10,4,Yes,7,Yes,No,Yes,NA,7,7,7,1,5,Yes,Yes,3,6,240,After 8:30 pm,3,4,2,3,5,No,No,Yes,120,50,Yes,Yes,2,15,5,6,2,NA,More than a month ago / never,Past month,Past 24 hours,No,3,No,No,1,Year 2,Yes,5,No,No,Yes,Yes,Yes,Yes,Yes,No,4,10,8,8,Yes,Yes,9,9,3,4,4,3,Yes,No,Yes,No,No,No,8,No,Yes,15,20,7,No,No,2,2,4,Yes,8,Yes,10
4-Year 2,College,Female,3.4,0,0,Yes,9,No,No,Yes,Yes,10,10,10,8,10,Yes,Yes,1,5,0,After 8:30 pm,1,2,0,0,8,Yes,Yes,No,30,50,No,No,70,50,15,30,20,Instagram,Past month,Past 24 hours,Past 24 hours,No,0.5,Yes,Yes,6,Year 2,Yes,5,No,No,No,No,No,Yes,Yes,Yes,5,7,9,9,No,Yes,8,4,10,7,10,4,Yes,No,Yes,No,No,No,7,No,Yes,30,20,7,No,No,4,3,4,Yes,10,Yes,10
4-Year 2,College,Male,3.9,12,15,Yes,9,No,No,Yes,Yes,10,10,10,7,3,Yes,Yes,2,5,30,After 8:30 pm,4,5,0.5,1,7,No,No,No,80,40,Yes,No,28,14,8,2,1,Facebook,Past week,Past week,Past week,No,2,No,Yes,3,Year 2,Yes,3,Yes,Yes,No,Yes,Yes,Yes,No,No,5,5,8,7,Yes,Yes,5,5,8,10,10,6,Yes,No,Yes,Yes,No,No,8,No,Yes,25,15,5,No,Yes,5,5,7,No,7,Yes,6
4-Year 2,College,Male,3.4,15,20,Yes,9,No,Yes,No,Yes,2,5,8,7,10,Yes,Yes,5,3,120,Before 8:30 pm,3,6,2,4,6,No,Yes,Yes,60,45,No,Yes,2,1,0,0,1,Snapchat,Past month,Past month,Past 24 hours,No,5,No,Yes,1,Year 2,Yes,6,No,No,No,No,No,No,Yes,No,5,6,9,9,No,Yes,1,1,10,10,10,9,No,Yes,No,Yes,No,No,2,No,Yes,50,0,7,Yes,Yes,3,2,1,No,7,No,2
4-Year 2,College,Female,3.7,12,0,Yes,8,Yes,No,Yes,Yes,9,10,10,9,1,Yes,Yes,4,6,80,Before 8:30 pm,5,4,2,2,7,No,Yes,No,NA,85,No,Yes,10,10,5,4,3,NA,Past month,Past week,Past 24 hours,Yes,4,No,Yes,5,Year 2,Yes,2,Yes,Yes,No,No,No,Yes,Yes,No,5,6,5,6,Yes,Yes,10,9,NA,10,5,5,Yes,No,Yes,No,No,No,5,No,Yes,15,0,7,Yes,Yes,NA,6,5,No,6,Yes,5
4-Year 2,College,Female,3.7,3,4,No,8,No,No,Yes,Yes,8,8,8,7,4,Yes,Yes,NA,6,NA,After 8:30 pm,6,4,0.5,1,6,Yes,Yes,No,30,90,No,Yes,12,15,7,3,4,Snapchat,More than a month ago / never,Past week,Past 24 hours,No,1,No,No,1,Year 2,Yes,5,No,No,No,No,Yes,No,Yes,Yes,4,5,6,7,No,Yes,9,9,5,7,6,6,Yes,Yes,Yes,Yes,No,No,8,Yes,Yes,20,40,4,No,No,3,1,1,No,7,Yes,5
4-Year 2,College,Female,3.96,5,12,Yes,7,Yes,No,Yes,Yes,9,9,9,4,9,Yes,Yes,1,13,45,After 8:30 pm,3,3,1,1,8,Yes,Yes,No,45,50,Yes,No,14,8,5,2,1,Facebook,Past month,Past week,Past week,Yes,1,No,No,3,Year 2,Yes,1,No,No,Yes,Yes,No,Yes,No,No,2,6,8,7,Yes,No,6,4,6,8,9,6,No,No,Yes,No,No,No,10,No,Yes,10,0,7,No,Yes,2,4,1,Yes,10,No,10
4-Year 2,College,Female,3.6,3,12,Yes,8,Yes,No,Yes,Yes,6,9,10,10,3,Yes,Yes,3,4,60,After 8:30 pm,3,4,1,0.5,6,Yes,Yes,No,120,30,Yes,Yes,9,21,8,3,10,Snapchat,Past month,Past 24 hours,Past 24 hours,Yes,6,No,Yes,3,Year 2,Yes,1,Yes,No,No,No,Yes,No,Yes,No,4,10,7,7,Yes,Yes,2,1,6,9,9,6,Yes,No,Yes,No,No,Yes,4,Yes,No,20,30,7,Yes,No,2,5,7,No,8,Yes,10
4-Year 2,College,Female,3.9,2,0,Yes,9,Yes,No,Yes,Yes,9,9,9,8,6,Yes,Yes,0,2,60,After 8:30 pm,2,3,1,1,7,No,No,Yes,40,35,No,No,15,14,1,0,1,NA,More than a month ago / never,More than a month ago / never,Past 24 hours,No,3,Yes,Yes,8,Year 2,Yes,1,Yes,No,No,No,No,No,Yes,Yes,4,9,5,5,Yes,Yes,3,8,10,2,7,1,Yes,No,Yes,Yes,No,No,7,No,No,15,25,6,No,Yes,3,1,5,No,9,Yes,8
4-Year 2,College,Female,3.78,1,0,Yes,9,Yes,No,Yes,Yes,10,10,10,9,10,Yes,Yes,7,9,240,After 8:30 pm,3,3,3,1,5,No,Yes,No,10,45,Yes,Yes,10,20,8,7,5,Facebook,Past 24 hours,Past 24 hours,Past 24 hours,No,1,No,No,6,Year 2,Yes,1,No,No,No,Yes,No,No,No,No,4,7,9,7,Yes,Yes,10,10,9,4,10,2,No,No,Yes,No,No,No,8,No,No,25,30,7,No,Yes,3,6,4,No,10,Yes,10
4-Year 2,College,Female,3.65,4,0,Yes,8,Yes,No,Yes,Yes,10,10,10,10,5,Yes,Yes,5,6,60,After 8:30 pm,3,4,1,1,7,No,No,No,30,40,Yes,Yes,15,15,1.5,0,0,NA,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,5,No,Yes,1,Year 2,Yes,1,No,No,No,No,No,No,Yes,No,5,5,5,5,Yes,Yes,5,5,7,10,8,1,Yes,Yes,Yes,No,No,No,6,Yes,No,20,0,6,Yes,No,2,5,5,No,2,Yes,1
4-Year 2,College,Female,3.95,NA,0,No,10,No,No,Yes,Yes,4,4,10,3,3,Yes,Yes,8,10,30,After 8:30 pm,5,6,NA,NA,NA,Yes,Yes,Yes,NA,75,Yes,Yes,30,20,NA,NA,NA,Facebook,Past month,Past month,Past week,Yes,NA,No,No,1,Year 2,Yes,4,No,No,No,No,No,Yes,NA,NA,5,10,6,2,Yes,Yes,3,4,2,10,2,10,Yes,No,Yes,No,No,No,10,Yes,No,5,NA,3,No,Yes,NA,1,1,Yes,10,Yes,NA
4-Year 2,College,Female,3.5,2,0,Yes,10,Yes,No,Yes,Yes,8,8,10,9,3,Yes,No,4,10,240,Before 8:30 pm,3,5,4,0,8,No,No,No,40,20,No,No,6,20,4,5,5,Instagram,Past month,Past month,Past 24 hours,No,7,No,No,5,Year 2,Yes,6,No,No,No,No,No,No,No,No,5,7,7,7,No,Yes,6,7,9,8,9,9,No,Yes,No,Yes,No,No,1,Yes,No,NA,NA,4,Yes,No,2,4,6,No,5,No,3
