grade,hs.college,sex,gpa,exercise,job,rigorous,welcome,school.spirit,different.hs,teachers.accepting,intensity,self.perception,world.perception,recommend,prepared,hum.math,aa,transfer,studying.24,essay.time,hw,start.hw,home.size,household.size,study.home,study.school,hrs.sleep,makeup,outfit,shower,time.morning,commute,first.stress,first.period,hrs.socializing,hrs.social.media,hrs.fb,hrs.instagram,hrs.snapchat,platform,last.fb,last.instagram,last.snapchat,more.followers,hrs.parents,ninth.lunch,tenth.lunch,ninth.responsible,ninth.y2,no.hats,no.hats.feeling,hat.removed,hat.confiscated,target.bullying,friends.bullied,you.bully,teacher.bully,teacher.response,student.response,safety,environmentalist,self.confidence,physical.positive,confidence.interferes,accepted.you,attractive.a,attractive.b,sex.heartbroken,sex.angry,love.heartbroken,love.angry,marijuana,drinking.age.appropriate,ok.underage,random.drug.tests,small.marijuana,glue,drug.use,breakfast.home,breakfast.school,money.food,allowance,hunger,school.lunch,bring.lunch,buy.food,school.lunch.rating,school.lunch.healthy,veg,veg.knowledge,veg.friends,veg.consider
1-9th grade,High school,Female,NA,NA,NA,Yes,9,Yes,Yes,Yes,Yes,6,8,8,,7,No,Yes,NA,NA,300,Before 8:30 pm,4,4,4,1,6,No,No,Yes,60,90,No,Yes,NA,15,5,1,5,Snapchat,Past week,Past month,Past 24 hours,Yes,5,Yes,NA,6,Year 2,Yes,5,No,No,No,No,No,No,Yes,No,5,6,7,8,No,Yes,7,8,9,10,10,8,Yes,Yes,No,No,No,No,5,No,Yes,20,20,5,No,No,5,4,6,No,4,No,4
1-9th grade,High school,Female,NA,NA,NA,Yes,9,Yes,Yes,Yes,Yes,6,8,8,,7,No,Yes,NA,NA,300,Before 8:30 pm,4,4,4,1,6,No,No,Yes,60,90,No,Yes,NA,15,5,1,5,Snapchat,Past week,Past month,Past 24 hours,Yes,5,Yes,NA,6,Year 2,Yes,5,No,No,No,No,No,No,Yes,No,5,6,7,8,No,Yes,7,8,9,10,10,8,Yes,Yes,No,No,No,No,5,No,Yes,20,20,5,No,No,5,4,6,No,4,No,4
1-9th grade,High school,Male,NA,2,50,No,7,No,No,Yes,No,7,7,10,10,10,No,Yes,NA,5,30,After 8:30 pm,2,5,,1,3,Yes,No,Yes,100,200,No,No,10,19,19,0,19,NA,Past month,Past 24 hours,Past 24 hours,No,24,No,No,1,Year 2,Yes,1,No,No,Yes,Yes,No,Yes,Yes,No,3,7,10,10,No,Yes,8,5,7,9,7,8,Yes,No,No,No,No,Yes,10,Yes,Yes,10,70,10,No,No,7,1,1,No,1,No,2
2-10th grade,High school,Male,3.75,7,0,Yes,10,Yes,Yes,Yes,Yes,5,7,9,7,3,Yes,Yes,3,3,120,Before 8:30 pm,2,4,2,5,7,No,Yes,Yes,60,20,Yes,Yes,6,5,3,1,1,Facebook,More than a month ago / never,More than a month ago / never,Past month,No,8,No,No,3,Year 2,No,3,No,No,No,No,No,No,Yes,Yes,5,7,7,7,No,Yes,4,7,5,3,10,10,Yes,Yes,No,Yes,No,No,1,Yes,No,10,0,8,Yes,No,1,5,4,No,7,No,1
2-10th grade,High school,Female,3.5,12,0,Yes,8,Yes,No,Yes,Yes,8,7,10,5,7,Yes,Yes,3,7,300,After 8:30 pm,2,2,5,3,5,Yes,No,Yes,60,70,Yes,Yes,2,6,1,4,3,Instagram,More than a month ago / never,Past week,Past week,No,4,No,Yes,2,Year 2,Yes,1,Yes,No,No,No,No,Yes,Yes,Yes,5,3,8,6,Yes,Yes,10,10,10,10,10,9,Yes,No,Yes,No,No,No,10,No,Yes,30,20,10,No,No,5,1,4,No,6,No,7
2-10th grade,High school,Male,3.8,2,0,Yes,9,No,Yes,Yes,Yes,2,2,7,10,3,Yes,Yes,1.5,2.5,50,Before 8:30 pm,3,4,1,0.1,6,No,Yes,Yes,55,65,Yes,Yes,8,1.5,0.5,0.5,0.5,Instagram,More than a month ago / never,Past week,Past month,No,3.5,No,Yes,5,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,3,5,3,No,Yes,7,6,7,6,9,3,Yes,Yes,No,Yes,No,No,3,Yes,No,5,0,6,No,Yes,0,3,4,No,8,Yes,7
2-10th grade,High school,Female,2.6,13,0,Yes,8,No,No,No,No,9,10,9,9,10,Yes,Yes,6,15,120,Before 8:30 pm,3,4,2,3,2,Yes,Yes,Yes,70,45,Yes,Yes,17,14,2,2,NA,NA,Past month,Past 24 hours,Past 24 hours,No,3,No,No,4,Year 2,Yes,1,Yes,Yes,No,No,No,Yes,Yes,Yes,4,3,7,7,No,Yes,9,7,10,10,10,5,Yes,No,Yes,Yes,No,No,9,No,No,30,0,6,No,Yes,0,3,2,No,9,Yes,3
2-10th grade,High school,Male,3,,0,Yes,10,Yes,No,Yes,Yes,7,7,10,8,5,Yes,Yes,2,5,240,After 8:30 pm,5,4,4,0,7,No,No,Yes,,60,No,Yes,5,10,0,6,4,Snapchat,More than a month ago / never,More than a month ago / never,Past week,No,5,No,Yes,1,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,5,7,7,No,Yes,5,5,1,1,7,5,No,Yes,No,Yes,Yes,No,1,Yes,No,20,30,5,Yes,No,2,3,5,No,3,No,1
2-10th grade,High school,Male,NA,8,4,Yes,5,Yes,NA,Yes,Yes,7,7,7,6,8,No,Yes,2,3,300,Before 8:30 pm,3,4,5,2,4,No,No,No,40,105,Yes,Yes,5,8,2,2,1,Facebook,Past week,Past month,Past 24 hours,Yes,5,No,No,1,Year 2,Yes,3,No,No,Yes,No,No,Yes,No,No,3,5,7,7,No,Yes,2,3,10,10,9,,No,No,No,No,Yes,No,1,No,Yes,5,20,8,No,Yes,1,2,4,No,5,Yes,3
2-10th grade,High school,Female,3,5,0,Yes,9,Yes,No,Yes,Yes,8,7,10,6,8,Yes,Yes,6,5,120,Before 8:30 pm,3,4,2,2,6,Yes,Yes,Yes,30,50,Yes,Yes,7,20,0,15,2,Instagram,More than a month ago / never,Past 24 hours,Past week,Yes,6,Yes,Yes,8,Year 2,Yes,2,No,No,No,No,No,No,Yes,Yes,4,7,4,6,Yes,Yes,8,2,8,NA,8,5,Yes,No,Yes,Yes,No,No,4,No,No,30,0,9,No,No,4,2,3,No,,Yes,3
